기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2016.09	뚝섬	1,666,947	690,716	139,432	416,170	42,118	316,886	61,625
2016.09	잠원	304,924	133,209	49,249	105,560	-	-	16,906
2016.09	반포	859,541	253,606	86,199	171,900	40,113	298,708	9,015
2016.09	이촌	334,580	126,480	78,330	109,530	5,540	-	14,700
2016.09	여의도	1,702,319	423,259	6,963	76,034	134,978	967,504	93,581
2016.09	양화	340,257	132,956	56,500	143,177	989	-	6,635
2016.09	망원	317,625	135,890	58,225	112,820	4,410	-	6,280
2016.09	난지	670,315	251,100	24,050	111,600	105,370	156,240	21,955
2016.09	강서	298,593	90,358	55,815	150,376	1,475	-	569
2016.10	합계	7,948,495	2,539,286	713,160	1,583,786	1,329,444	1,560,130	222,689
2016.10	광나루	385,348	113,081	80,211	184,115	6,177	-	1,764
2016.10	잠실	473,075	154,220	76,985	219,655	4,150	-	18,065
2016.10	뚝섬	1,608,787	591,157	194,740	383,100	79,115	312,445	48,230
2016.10	잠원	297,511	130,804	53,221	94,000	3,410	-	16,076
2016.10	반포	673,673	211,480	66,516	114,863	27,882	247,420	5,512
2016.10	이촌	664,620	182,500	64,120	95,630	307,470	-	14,900
2016.10	여의도	2,043,330	326,205	295	55,779	746,598	825,769	88,684
2016.10	양화	312,470	136,494	52,102	115,757	4,082	-	4,035
2016.10	망원	489,850	330,130	52,920	93,955	5,000	-	7,845
2016.10	난지	765,967	280,440	24,928	124,640	144,348	174,496	17,115
2016.10	강서	233,864	82,775	47,122	102,292	1,212	-	463
2016.11	합계	2,348,018	810,211	288,919	452,742	38,660	625,448	132,038
2016.11	광나루	181,301	60,905	36,872	77,570	5,499	-	455
2016.11	잠실	209,710	96,200	45,090	57,690	3,000	-	7,730
2016.11	뚝섬	493,170	173,357	60,030	89,515	7,714	138,695	23,859
2016.11	잠원	122,122	45,260	19,905	41,870	120	-	14,967
2016.11	반포	245,795	50,345	22,668	47,510	2,737	119,326	3,209
2016.11	이촌	109,460	37,030	29,000	31,720	2,350	-	9,360
2016.11	여의도	528,532	147,717	5,651	22,956	6,101	285,635	60,472
2016.11	양화	95,597	45,971	19,002	28,023	201	-	2,400
2016.11	망원	93,987	46,800	22,505	18,170	2,420	-	4,092
2016.11	난지	206,148	77,880	12,528	21,280	7,596	81,792	5,072
2016.11	강서	62,196	28,746	15,668	16,438	922	-	422
2016.12	합계	2,438,536	761,380	288,252	445,545	39,136	803,041	101,182
2016.12	광나루	150,551	51,165	36,113	60,322	2,719	-	232
2016.12	잠실	139,380	61,420	33,180	41,170	-	-	3,610
2016.12	뚝섬	465,905	157,664	57,202	79,675	7,263	150,038	14,063
2016.12	잠원	146,390	54,865	28,720	49,420	4,325	-	9,060
2016.12	반포	237,582	61,915	19,460	49,135	1,013	104,240	1,819
2016.12	이촌	117,150	42,590	24,140	41,600	1,150	-	7,670
2016.12	여의도	752,111	156,358	7,089	30,642	15,137	484,083	58,802
2016.12	양화	98,901	44,671	27,031	25,422	358	-	1,419
2016.12	망원	89,175	37,800	20,175	26,950	1,770	-	2,480
2016.12	난지	172,743	59,380	18,735	24,100	4,410	64,680	1,438
2016.12	강서	68,648	33,552	16,407	17,109	991	-	589
2017.01	합계	3,800,036	1,474,668	410,211	894,080	27,523	881,241	112,313
2017.01	광나루	248,658	83,705	53,890	109,068	1,740	-	255
2017.01	잠실	281,265	119,950	49,786	103,920	1,030	-	6,579
2017.01	뚝섬	1,082,523	486,263	81,155	260,007	6,210	233,402	15,486
2017.01	잠원	194,570	92,720	32,045	59,430	-	-	10,375
2017.01	반포	306,968	113,045	47,257	72,504	723	70,980	2,459
2017.01	이촌	198,750	78,990	49,220	63,400	970	-	6,170
2017.01	여의도	879,612	210,678	4,495	49,543	14,567	533,654	66,675
2017.01	양화	154,949	73,012	30,154	50,255	213	-	1,315
2017.01	망원	146,295	73,440	27,850	40,870	1,415	-	2,720
2017.01	난지	194,949	95,110	7,584	49,050	-	43,205	-
2017.01	강서	111,497	47,755	26,775	36,033	655	-	279
2017.02	합계	3,777,735	1,428,205	420,223	888,555	30,771	909,243	100,738
2017.02	광나루	246,863	81,030	53,686	109,116	2,827	-	204
2017.02	잠실	282,321	118,300	48,801	105,290	5,035	-	4,895
2017.02	뚝섬	936,848	415,113	76,572	234,089	5,955	190,168	14,951
2017.02	잠원	172,573	86,405	29,055	47,860	-	-	9,253
2017.02	반포	326,494	110,056	42,642	86,479	1,842	83,199	2,276
2017.02	이촌	202,040	78,720	52,020	63,880	2,410	-	5,010
2017.02	여의도	1,037,171	259,201	36,985	72,809	7,809	601,471	58,896
2017.02	양화	160,967	75,531	29,132	55,795	280	-	229
2017.02	망원	141,710	71,810	26,930	37,030	2,760	-	3,180
2017.02	난지	168,320	86,473	4,055	40,415	1,300	34,405	1,672
2017.02	강서	102,428	45,566	20,345	35,792	553	-	172
2017.03	합계	5,709,099	2,074,871	652,877	1,477,278	170,708	1,210,060	123,305
2017.03	광나루	339,647	104,240	71,991	160,375	2,627	-	414
2017.03	잠실	368,360	153,510	69,740	139,350	1,300	-	4,460
2017.03	뚝섬	1,384,801	610,227	108,345	380,586	18,133	249,926	17,584
2017.03	잠원	259,630	124,180	42,710	83,495	-	-	9,245
2017.03	반포	458,602	160,002	64,626	112,369	4,658	113,435	3,512
2017.03	이촌	323,930	113,210	92,520	108,580	2,230	-	7,390
2017.03	여의도	1,638,377	414,851	74,632	182,410	129,057	772,184	65,243
2017.03	양화	245,044	98,378	44,653	100,170	1,291	-	552
2017.03	망원	217,735	98,070	37,975	71,850	3,005	-	6,835
2017.03	난지	322,966	144,833	15,165	74,035	6,660	74,515	7,758
2017.03	강서	150,007	53,370	30,520	64,058	1,747	-	312
2017.04	합계	7,837,088	2,617,811	674,099	1,688,858	524,932	2,146,118	185,270
2017.04	광나루	381,926	113,890	75,161	178,490	13,019	-	1,366
2017.04	잠실	385,600	183,390	59,720	133,320	3,190	-	5,980
2017.04	뚝섬	1,520,836	631,444	135,135	430,570	26,641	270,204	26,842
2017.04	잠원	267,250	136,790	34,980	82,560	-	-	12,920
2017.04	반포	573,440	228,754	72,013	126,856	14,820	125,625	5,372
2017.04	이촌	380,620	138,950	100,810	129,990	2,690	-	8,180
2017.04	여의도	3,147,703	702,694	52,344	224,182	412,677	1,661,308	94,498
2017.04	양화	305,636	136,794	45,466	121,308	1,053	-	1,015
2017.04	망원	265,027	117,080	49,255	86,240	7,282	-	5,170
2017.04	난지	441,472	170,853	15,780	99,825	42,495	88,981	23,538
2017.04	강서	167,578	57,172	33,435	75,517	1,065	-	389
2017.05	합계	8,153,353	2,647,920	698,788	1,929,505	318,915	2,396,733	161,492
2017.05	광나루	405,094	122,520	74,747	199,282	6,134	-	2,411
2017.05	잠실	345,810	139,475	62,145	139,820	545	-	3,825
2017.05	뚝섬	1,663,953	650,138	126,836	473,090	44,005	336,848	33,036
2017.05	잠원	295,999	141,960	43,820	86,824	7,060	-	16,335
2017.05	반포	737,798	255,109	74,700	162,753	33,193	206,550	5,493
2017.05	이촌	381,470	132,650	103,710	124,340	7,090	-	13,680
2017.05	여의도	2,878,631	667,940	46,506	256,642	135,381	1,726,427	45,735
2017.05	양화	305,318	115,472	55,123	131,021	2,490	-	1,212
2017.05	망원	279,640	123,520	48,270	95,955	5,975	-	5,920
2017.05	난지	595,937	225,893	27,347	106,305	76,052	126,908	33,432
2017.05	강서	263,703	73,243	35,584	153,473	990	-	413
2017.06	합계	7,290,739	2,453,112	675,743	1,701,350	170,117	2,076,989	213,428
2017.06	광나루	375,973	118,840	68,937	176,187	3,874	-	8,135
2017.06	잠실	367,466	147,025	66,720	142,340	1,950	-	9,431
2017.06	뚝섬	1,773,860	679,874	140,289	460,740	98,607	347,549	46,801
2017.06	잠원	236,679	118,057	36,149	79,190	340	-	2,943
2017.06	반포	672,279	230,002	68,428	162,149	9,633	184,253	17,814
2017.06	이촌	350,620	122,350	96,210	116,000	5,750	-	10,310
2017.06	여의도	2,281,693	545,503	35,681	156,867	31,220	1,432,223	80,199
2017.06	양화	257,971	101,647	45,978	105,544	3,790	-	1,012
2017.06	망원	261,911	112,391	43,522	95,364	3,824	-	6,810
2017.06	난지	481,894	193,000	31,353	104,925	10,195	112,964	29,457
2017.06	강서	230,393	84,423	42,476	102,044	934	-	516
2017.07	합계	7,153,941	2,526,968	738,904	1,481,614	266,901	1,764,733	374,821
2017.07	광나루	398,383	144,800	62,711	165,282	2,989	-	22,601
2017.07	잠실	385,146	152,810	74,966	136,515	80	-	20,775
2017.07	뚝섬	1,696,548	729,550	159,820	347,880	88,171	291,603	79,524
2017.07	잠원	298,257	147,091	58,358	85,390	42	-	7,376
2017.07	반포	489,360	168,905	56,981	128,865	51,326	76,544	6,739
2017.07	이촌	345,495	125,890	86,900	112,000	8,040	-	12,665
2017.07	여의도	2,197,578	541,421	90,228	132,656	47,123	1,221,026	165,124
2017.07	양화	224,788	91,582	40,140	86,890	1,479	-	4,697
2017.07	망원	247,825	94,388	37,167	85,593	2,271	-	28,406
2017.07	난지	653,166	247,696	31,135	108,010	64,573	175,560	26,192
2017.07	강서	217,395	82,835	40,498	92,533	807	-	722
2017.08	합계	7,842,999	2,690,378	791,819	1,675,052	345,069	1,873,500	467,181
2017.08	광나루	618,916	242,435	90,143	256,575	3,273	-	26,490
2017.08	잠실	438,327	160,285	90,600	150,050	4,460	-	32,932
2017.08	뚝섬	1,875,207	861,620	165,250	390,530	52,884	313,684	91,239
2017.08	잠원	6,955	3,340	940	2,580	-	-	95
2017.08	반포	586,145	214,409	52,569	147,531	83,215	76,561	11,860
2017.08	이촌	407,459	151,460	108,960	130,530	2,650	-	13,859
2017.08	여의도	2,483,064	514,209	112,760	156,754	153,349	1,328,116	217,876
2017.08	양화	283,485	112,135	50,606	106,758	1,726	-	12,260
2017.08	망원	293,397	114,056	39,384	101,942	2,269	-	35,746
2017.08	난지	575,075	213,649	31,467	110,474	40,475	155,139	23,871
2017.08	강서	274,969	102,780	49,140	121,328	768	-	953
2017.09	합계	8,725,489	3,121,662	788,239	1,719,288	980,228	1,827,446	288,626
2017.09	광나루	549,914	210,510	74,201	250,472	5,768	-	8,963
2017.09	잠실	503,927	217,280	94,470	175,550	10,380	-	6,247
2017.09	뚝섬	1,686,940	754,150	157,190	341,240	165,855	232,075	36,430
2017.09	잠원	296,199	124,973	66,581	100,398	-	-	4,247
2017.09	반포	12,580	5,520	1,418	3,654	400	1,286	302
2017.09	이촌	658,050	197,540	108,110	128,750	206,220	-	17,430
2017.09	여의도	3,249,232	785,125	102,422	209,040	486,460	1,476,230	189,955
2017.09	양화	506,076	324,788	50,018	124,425	5,091	-	1,754
2017.09	망원	380,970	198,533	47,066	128,862	2,191	-	4,318
2017.09	난지	592,307	207,005	35,850	117,075	96,612	117,855	17,910
2017.09	강서	289,294	96,238	50,913	139,822	1,251	-	1,070
2017.10	합계	6,899,096	3,018,160	638,332	1,483,443	219,408	1,349,369	190,384
2017.10	광나루	609,080	222,872	88,507	286,850	2,338	-	8,513
2017.10	잠실	389,858	139,375	75,415	169,720	233	-	5,115
2017.10	뚝섬	2,298,735	1,449,920	141,960	295,920	95,337	279,146	36,452
2017.10	잠원	10,635	4,700	2,095	3,790	-	-	50
2017.10	반포	15,580	9,393	1,300	2,636	-	1,821	430
2017.10	이촌	358,310	133,310	93,300	106,580	12,850	-	12,270
2017.10	여의도	1,808,195	543,765	77,540	148,620	36,880	901,250	100,140
2017.10	양화	258,109	105,779	38,711	102,693	8,565	-	2,361
2017.10	망원	323,135	126,951	53,098	131,066	7,825	-	4,195
2017.10	난지	532,688	184,300	15,243	92,970	53,355	167,152	19,668
2017.10	강서	294,771	97,795	51,163	142,598	2,025	-	1,190
2017.11	합계	4,556,537	1,859,099	489,277	999,541	82,201	1,030,742	95,677
2017.11	광나루	380,778	144,525	62,253	168,443	1,719	-	3,838
2017.11	잠실	295,560	114,050	62,850	111,560	3,250	-	3,850
2017.11	뚝섬	1,215,938	648,396	98,760	213,620	42,020	190,787	22,355
2017.11	잠원	139,430	136,702	140	56	2,532	-	-
2017.11	반포	14,420	4,970	2,910	4,360	60	2,000	120
2017.11	이촌	252,740	96,750	74,970	71,280	4,460	-	5,280
2017.11	여의도	1,412,080	352,185	82,660	116,440	22,160	787,375	51,260
2017.11	양화	152,081	73,711	23,180	52,422	2,054	-	714
2017.11	망원	238,002	94,520	37,936	100,885	1,666	-	2,995
2017.11	난지	275,914	132,485	11,155	75,805	1,350	50,580	4,539
2017.11	강서	179,594	60,805	32,463	84,670	930	-	726
2017.12	합계	4,008,958	1,731,397	479,267	820,470	120,362	758,843	98,619
2017.12	광나루	290,348	126,500	47,464	114,636	1,276	-	472
2017.12	잠실	272,302	107,230	63,065	98,075	200	-	3,732
2017.12	뚝섬	1,107,662	611,222	93,540	176,720	29,110	165,455	31,615
2017.12	잠원	161,363	73,984	32,810	52,404	141	-	2,024
2017.12	반포	300,519	116,099	39,482	67,194	5,425	68,959	3,360
2017.12	이촌	183,100	71,600	54,540	52,840	860	-	3,260
2017.12	여의도	1,074,640	300,475	73,655	82,120	77,330	492,015	49,045
2017.12	양화	112,928	58,422	17,733	35,462	864	-	447
2017.12	망원	164,218	74,103	25,523	60,679	1,568	-	2,345
2017.12	난지	156,650	110,920	8,590	-	2,790	32,414	1,936
2017.12	강서	185,228	80,842	22,865	80,340	798	-	383
2018.01	합계	3,766,842	1,726,414	479,716	845,019	63,528	556,046	96,119
2018.01	광나루	273,286	119,810	45,193	104,954	1,099	-	2,230
2018.01	잠실	287,507	111,660	63,610	105,695	3,000	-	3,542
2018.01	뚝섬	1,138,242	623,700	111,170	168,100	28,942	159,204	47,126
2018.01	잠원	169,733	74,545	44,214	47,677	1,079	-	2,218
2018.01	반포	363,001	157,833	40,440	82,859	7,573	71,162	3,134
2018.01	이촌	197,640	78,360	59,290	55,200	1,160	-	3,630
2018.01	여의도	688,830	231,620	36,625	49,190	14,580	325,680	31,135
2018.01	양화	113,917	60,044	16,225	36,339	917	-	392
2018.01	망원	162,575	71,119	27,187	60,658	2,608	-	1,003
2018.01	난지	244,157	148,990	11,420	80,320	2,100	-	1,327
2018.01	강서	127,954	48,733	24,342	54,027	470	-	382
2018.02	합계	3,508,933	1,561,786	461,089	811,389	73,874	502,422	98,373
2018.02	광나루	255,541	119,325	39,358	95,370	667	-	821
2018.02	잠실	257,599	105,805	57,745	90,981	-	-	3,068
2018.02	뚝섬	1,138,242	623,700	111,170	168,100	28,942	159,204	47,126
2018.02	잠원	164,870	66,495	42,376	52,718	1,188	-	2,093
2018.02	반포	330,564	145,506	34,692	67,920	8,130	71,098	3,218
2018.02	이촌	198,490	78,040	56,800	57,560	2,610	-	3,480
2018.02	여의도	507,810	107,275	30,180	48,910	14,920	272,120	34,405
2018.02	양화	107,900	53,470	17,300	35,864	902	-	364
2018.02	망원	167,246	70,460	31,622	57,524	6,433	-	1,207
2018.02	난지	244,661	140,530	12,565	80,220	9,155	-	2,191
2018.02	강서	136,010	51,180	27,281	56,222	927	-	400
2018.03	합계	4,792,541	2,014,381	589,406	1,108,707	104,998	855,347	119,702
2018.03	광나루	412,175	176,105	59,105	169,701	6,726	-	538
2018.03	잠실	330,464	125,070	69,485	129,495	2,940	-	3,474
2018.03	뚝섬	1,035,910	559,290	101,880	163,710	24,885	154,010	32,135
2018.03	잠원	231,603	88,920	67,219	70,997	1,152	-	3,315
2018.03	반포	602,405	348,030	48,730	101,384	14,572	85,098	4,591
2018.03	이촌	275,000	107,990	75,570	82,960	3,040	-	5,440
2018.03	여의도	1,111,097	251,152	55,133	90,429	33,239	616,239	64,905
2018.03	양화	166,678	77,769	26,055	61,042	1,215	-	597
2018.03	망원	167,246	70,460	31,008	57,524	6,433	-	1,821
2018.03	난지	244,661	140,530	12,565	80,220	9,155	-	2,191
2018.03	강서	215,302	69,065	42,656	101,245	1,641	-	695
2018.04	합계	9,514,699	4,867,322	604,045	1,384,049	178,914	2,260,798	219,571
2018.04	광나루	357,125	136,580	51,524	157,402	8,517	-	3,102
2018.04	잠실	335,811	125,360	64,450	136,970	5,518	-	3,513
2018.04	뚝섬	1,463,812	710,200	161,290	271,810	25,505	251,167	43,840
2018.04	잠원	179,076	86,159	34,576	54,942	-	-	3,399
2018.04	반포	575,855	309,925	45,736	111,095	13,446	88,706	6,947
2018.04	이촌	267,370	103,830	78,690	72,360	7,270	-	5,220
2018.04	여의도	5,270,190	2,912,020	54,255	213,290	43,960	1,920,925	125,740
2018.04	양화	190,769	90,828	26,685	71,112	1,315	-	829
2018.04	망원	293,536	136,355	35,476	107,446	12,773	-	1,486
2018.04	난지	368,209	184,255	10,775	90,200	58,030	-	24,949
2018.04	강서	212,946	71,810	40,588	97,422	2,580	-	546
2018.05	합계	6,931,330	2,852,303	686,814	1,448,703	208,405	1,520,010	215,095
2018.05	광나루	398,175	158,204	51,952	170,877	11,527	-	5,615
2018.05	잠실	374,264	143,235	72,346	146,804	8,400	-	3,479
2018.05	뚝섬	1,557,568	815,080	156,470	225,420	38,983	274,133	47,482
2018.05	잠원	293,547	101,949	94,115	86,234	6,085	-	5,164
2018.05	반포	662,407	367,984	54,263	121,726	18,197	89,322	10,915
2018.05	이촌	285,030	113,920	75,580	81,340	5,330	-	8,860
2018.05	여의도	2,161,440	635,625	54,060	180,910	36,250	1,156,555	98,040
2018.05	양화	205,144	90,559	28,317	75,804	9,312	-	1,152
2018.05	망원	301,564	140,759	35,549	112,907	9,931	-	2,418
2018.05	난지	415,871	206,665	18,870	98,535	60,690	-	31,111
2018.05	강서	276,320	78,323	45,292	148,146	3,700	-	859
2018.06	합계	6,783,118	2,742,059	688,290	1,494,893	191,630	1,426,406	239,840
2018.06	광나루	384,442	143,659	59,545	178,388	1,561	-	1,289
2018.06	잠실	402,030	144,210	81,505	170,125	-	-	6,190
2018.06	뚝섬	1,594,068	824,040	166,285	272,120	37,223	242,002	52,398
2018.06	잠원	207,363	75,370	41,673	50,491	36,411	-	3,418
2018.06	반포	632,962	326,637	47,030	134,465	17,500	95,954	11,376
2018.06	이촌	296,590	111,590	83,570	86,420	5,680	-	9,330
2018.06	여의도	2,107,700	621,960	61,140	175,330	38,640	1,088,450	122,180
2018.06	양화	214,572	89,470	31,563	88,446	3,624	-	1,469
2018.06	망원	310,295	134,935	49,360	111,958	11,623	-	2,419
2018.06	난지	388,370	192,959	17,344	111,477	37,802	-	28,788
2018.06	강서	244,726	77,229	49,275	115,673	1,566	-	983
2018.07	합계	6,517,501	2,571,746	695,114	1,298,300	210,956	1,418,662	322,723
2018.07	광나루	393,614	162,860	51,102	161,793	1,031	-	16,828
2018.07	잠실	395,914	139,250	80,350	148,210	500	-	27,604
2018.07	뚝섬	1,437,046	811,905	176,435	181,260	51,695	165,837	49,914
2018.07	잠원	189,669	75,393	46,038	43,592	80	-	24,566
2018.07	반포	590,495	345,762	32,948	108,499	2,479	89,028	11,779
2018.07	이촌	293,330	106,620	82,400	88,110	8,380	-	7,820
2018.07	여의도	2,093,100	464,675	76,578	157,640	78,290	1,163,797	152,120
2018.07	양화	180,292	73,716	22,874	71,302	9,426	-	2,974
2018.07	망원	273,610	106,072	52,728	103,407	9,448	-	1,955
2018.07	난지	426,116	201,322	24,125	126,170	48,112	-	26,387
2018.07	강서	244,315	84,171	49,536	108,317	1,515	-	776
2018.08	합계	6,780,946	2,626,243	745,182	1,284,106	224,848	1,556,359	344,208
2018.08	광나루	390,990	145,886	52,357	172,402	460	-	19,885
2018.08	잠실	352,638	131,410	75,455	122,745	2,000	-	21,028
2018.08	뚝섬	1,803,522	992,830	240,777	233,260	64,399	197,792	74,464
2018.08	잠원	167,708	62,369	38,034	45,107	66	-	22,132
2018.08	반포	676,596	360,563	37,641	115,281	11,034	135,812	16,265
2018.08	이촌	271,160	97,990	80,420	77,650	4,490	-	10,610
2018.08	여의도	2,113,582	408,070	75,688	171,190	76,460	1,222,755	159,419
2018.08	양화	145,187	60,733	22,958	52,475	6,538	-	2,483
2018.08	망원	241,217	97,712	48,584	86,109	6,828	-	1,984
2018.08	난지	387,073	183,061	17,710	119,946	51,243	-	15,113
2018.08	강서	231,273	85,619	55,558	87,941	1,330	-	825
2018.09	합계	6,989,508	2,736,112	754,007	1,432,475	277,337	1,527,375	262,202
2018.09	광나루	368,721	145,780	47,226	168,657	2,481	-	4,577
2018.09	잠실	383,504	136,590	83,504	155,520	4,500	-	3,390
2018.09	뚝섬	1,776,847	980,710	216,590	215,230	79,197	207,998	77,122
2018.09	잠원	172,101	72,805	49,865	45,828	677	-	2,926
2018.09	반포	809,258	416,093	47,390	138,273	35,928	154,937	16,637
2018.09	이촌	309,020	120,670	85,340	89,390	3,580	-	10,040
2018.09	여의도	2,020,835	384,120	75,220	205,770	51,030	1,164,440	140,255
2018.09	양화	150,188	62,653	19,769	59,480	7,514	-	772
2018.09	망원	279,623	117,732	39,427	103,703	16,148	-	2,613
2018.09	난지	456,930	218,309	39,873	121,620	74,361	-	2,767
2018.09	강서	262,481	80,650	49,803	129,004	1,921	-	1,103
2018.10	합계	7,428,243	3,191,752	658,288	1,292,169	526,286	1,486,732	273,016
2018.10	광나루	361,105	166,100	34,554	149,941	5,782	-	4,728
2018.10	잠실	379,245	144,025	78,360	145,610	7,550	-	3,700
2018.10	뚝섬	1,770,353	1,027,940	172,860	190,395	91,365	218,230	69,563
2018.10	잠원	165,920	61,278	53,325	46,196	2,460	-	2,661
2018.10	반포	895,008	461,407	49,558	134,294	43,085	187,312	19,352
2018.10	이촌	536,930	134,340	72,430	79,460	238,850	-	11,850
2018.10	여의도	2,295,905	778,050	70,755	186,810	38,530	1,081,190	140,570
2018.10	양화	123,318	53,364	14,486	45,910	8,738	-	820
2018.10	망원	274,228	110,724	43,287	93,553	23,872	-	2,792
2018.10	난지	392,560	175,757	17,353	118,744	64,585	-	16,121
2018.10	강서	233,671	78,767	51,320	101,256	1,469	-	859
2018.11	합계	4,427,552	1,802,854	528,437	967,316	128,242	815,101	185,602
2018.11	광나루	268,712	113,480	33,270	121,041	320	-	601
2018.11	잠실	127,719	50,000	38,652	36,285	389	-	2,393
2018.11	뚝섬	1,197,969	674,640	120,697	138,181	53,265	165,121	46,065
2018.11	잠원	301,425	109,960	70,770	117,655	200	-	2,840
2018.11	반포	499,806	236,533	40,662	93,737	2,587	112,260	14,027
2018.11	이촌	180,100	68,690	53,380	53,630	1,540	-	2,860
2018.11	여의도	1,118,415	255,790	60,655	131,290	31,090	537,720	101,870
2018.11	양화	97,173	42,365	13,401	37,250	3,418	-	739
2018.11	망원	198,688	73,465	41,617	69,424	11,764	-	2,418
2018.11	난지	238,465	108,111	12,789	83,913	22,539	-	11,113
2018.11	강서	199,080	69,820	42,544	84,910	1,130	-	676
2018.12	합계	3,535,685	1,585,072	447,140	691,047	90,368	591,905	130,153
2018.12	광나루	225,400	114,300	26,819	83,336	440	-	505
2018.12	잠실	256,882	100,165	66,542	87,135	200	-	2,840
2018.12	뚝섬	1,075,366	652,470	119,837	118,328	38,290	124,115	22,326
2018.12	잠원	103,776	42,211	29,615	29,114	742	-	2,094
2018.12	반포	403,424	205,261	30,645	55,171	914	103,283	8,150
2018.12	이촌	159,130	62,170	48,200	43,630	1,870	-	3,260
2018.12	여의도	771,450	174,444	46,433	79,636	21,420	364,507	85,010
2018.12	양화	74,977	34,314	10,629	24,295	5,241	-	498
2018.12	망원	155,015	65,876	27,735	53,960	4,667	-	2,777
2018.12	난지	151,384	74,471	8,731	50,006	15,915	-	2,261
2018.12	강서	158,881	59,390	31,954	66,436	669	-	432
2019.01	합계	3,650,518	1,583,371	448,140	771,931	149,070	572,881	125,125
2019.01	광나루	231,665	121,530	17,607	88,773	3,500	-	255
2019.01	잠실	277,545	102,630	67,020	102,195	3,350	-	2,350
2019.01	뚝섬	1,151,460	641,610	118,264	162,375	66,282	143,393	19,536
2019.01	잠원	108,643	48,215	26,564	6,951	26,913	-	-
2019.01	반포	370,282	168,425	29,394	57,982	1,128	104,938	8,415
2019.01	이촌	180,240	69,540	54,650	51,710	1,300	-	3,040
2019.01	여의도	702,780	165,690	41,360	69,120	18,280	324,550	83,780
2019.01	양화	99,928	49,868	11,993	31,373	6,287	-	407
2019.01	망원	196,146	80,463	40,075	65,533	5,900	-	4,175
2019.01	난지	147,070	73,261	7,118	49,099	15,172	-	2,420
2019.01	강서	184,759	62,139	34,095	86,820	958	-	747
2019.02	합계	3,492,400	1,566,327	420,304	752,672	114,162	516,050	122,885
2019.02	광나루	207,147	109,932	17,877	73,507	5,541	-	290
2019.02	잠실	254,738	92,315	62,038	90,250	8,030	-	2,105
2019.02	뚝섬	1,136,935	657,690	112,356	168,865	49,739	129,664	18,621
2019.02	잠원	77,767	39,270	10,669	26,252	-	-	1,576
2019.02	반포	436,183	218,869	33,741	64,401	1,264	107,341	10,567
2019.02	이촌	174,980	65,250	51,190	51,740	3,550	-	3,250
2019.02	여의도	607,885	130,065	34,340	65,325	18,205	279,045	80,905
2019.02	양화	92,796	47,533	11,040	29,708	4,158	-	357
2019.02	망원	202,638	82,579	44,026	66,600	6,556	-	2,877
2019.02	난지	127,020	61,974	6,234	40,894	16,148	-	1,770
2019.02	강서	174,311	60,850	36,793	75,130	971	-	567
2019.03	합계	4,967,892	2,126,485	557,683	1,200,984	125,032	798,572	159,136
2019.03	광나루	265,425	132,150	22,535	101,925	8,476	-	339
2019.03	잠실	310,079	112,615	69,871	118,560	6,530	-	2,503
2019.03	뚝섬	1,516,468	906,310	151,609	305,120	34,817	96,872	21,740
2019.03	잠원	138,536	51,360	39,415	45,672	-	-	2,089
2019.03	반포	541,474	262,069	43,314	106,821	4,263	107,465	17,542
2019.03	이촌	227,410	85,410	66,150	70,220	1,520	-	4,110
2019.03	여의도	1,182,244	250,750	56,959	143,280	34,570	594,235	102,450
2019.03	양화	185,461	88,336	15,468	73,815	7,454	-	388
2019.03	망원	208,108	84,088	39,052	72,041	8,508	-	4,419
2019.03	난지	180,305	87,677	8,886	63,808	17,204	-	2,730
2019.03	강서	212,382	65,720	44,424	99,722	1,690	-	826
2019.04	합계	10,823,440	3,072,127	634,333	1,336,018	4,085,677	1,507,506	187,779
2019.04	광나루	308,133	148,310	29,031	120,620	7,314	-	2,858
2019.04	잠실	338,840	127,185	72,286	131,480	5,000	-	2,889
2019.04	뚝섬	1,981,305	1,305,990	166,498	291,210	47,638	144,763	25,206
2019.04	잠원	145,791	49,722	47,339	45,470	120	-	3,140
2019.04	반포	783,100	443,949	37,179	134,496	8,268	142,366	16,842
2019.04	이촌	222,450	79,880	63,260	67,910	6,640	-	4,760
2019.04	여의도	6,060,718	527,486	95,020	190,950	3,906,704	1,220,377	120,181
2019.04	양화	224,124	111,198	13,395	86,306	12,652	-	573
2019.04	망원	259,489	106,251	51,918	81,141	15,798	-	4,381
2019.04	난지	280,230	107,930	15,471	76,638	74,151	-	6,040
2019.04	강서	219,260	64,226	42,936	109,797	1,392	-	909
2019.05	합계	7,763,028	3,784,888	701,197	1,329,203	318,937	1,428,265	200,538
2019.05	광나루	329,630	157,480	38,766	125,469	2,364	-	5,551
2019.05	잠실	373,243	131,925	83,380	144,175	10,360	-	3,403
2019.05	뚝섬	2,190,337	1,495,200	192,370	219,880	59,638	194,348	28,901
2019.05	잠원	160,223	51,085	60,195	46,190	20	-	2,733
2019.05	반포	1,126,471	674,993	54,613	191,235	42,563	163,067	-
2019.05	이촌	249,650	91,020	69,280	79,700	3,910	-	5,740
2019.05	여의도	2,247,655	773,530	68,365	147,130	58,730	1,070,850	129,050
2019.05	양화	164,336	81,814	13,446	62,963	5,625	-	488
2019.05	망원	288,727	112,417	61,220	90,799	20,022	-	4,269
